Influencer insta name,Category,Followers,Top audience country,Authentic engagement,Engagement average
dqsalmaan,Cinema & Actors/actresses,10200000.0,India,176800.0,239600.0
dra.deolanebezerra,Music,13200000.0,Brazil,352000.0,754100.0
drewstarkey,Music,3200000.0,United States,630200.0,1200000.0
dualipa,Music,81600000.0,Mexico,2200000.0,2700000.0
dudewithsign,Music,8100000.0,United States,400000.0,628500.0
dukeandduchessofcambridge,Family,13500000.0,United States,0.0,214200.0
dukissj,Music,9000000.0,Argentina,607200.0,1100000.0
dylanminnette,Music,7300000.0,United States,215700.0,350400.0
dylansprouse,Cinema & Actors/actresses,9300000.0,United States,350300.0,549800.0
e_milygarcia,Cinema & Actors/actresses,11000000.0,Brazil,230100.0,380500.0
earthpix,Nature & landscapes,22700000.0,United States,118700.0,145900.0
easportsfifa,Sports with a ball,25800000.0,Spain,70900.0,118300.0
ebi,Music,10300000.0,Iran,193600.0,260500.0
ederbez,Cinema & Actors/actresses,18100000.0,Mexico,248300.0,278900.0
egorkreed,Music,14700000.0,Russia,322600.0,396900.0
eilirjani,Lifestyle,9500000.0,Albania,423900.0,611600.0
elcinsangu,Cinema & Actors/actresses,8300000.0,Turkey,284600.0,342800.0
eliana,Music,29600000.0,Brazil,119300.0,151500.0
ellenpompeo,Cinema & Actors/actresses,10000000.0,Brazil,285800.0,495800.0
elnazshakerdoost,Cinema & Actors/actresses,9500000.0,Iran,219000.0,295700.0
elrodrigocontreras,Lifestyle,12700000.0,Mexico,563100.0,620800.0
elrubiuswtf,Computers & Gadgets,16200000.0,Mexico,1400000.0,1500000.0
emilia_clarke,Cinema & Actors/actresses,27000000.0,India,490500.0,617200.0
emiliamernes,Music,4900000.0,Argentina,549500.0,1000000.0
eminem,Cinema & Actors/actresses,35600000.0,Iran,771200.0,993500.0
emmachamberlain,Lifestyle,15300000.0,United States,1100000.0,1700000.0
emmaroberts,Cinema & Actors/actresses,17700000.0,United States,266400.0,392400.0
emrata,Modeling,29000000.0,United States,475400.0,758700.0
enhypen,Music,9600000.0,Indonesia,1500000.0,2100000.0
erling.haaland,Music,14800000.0,Brazil,541800.0,811000.0
esbilgic,Lifestyle,6700000.0,India,319100.0,407100.0
ester_exposito,Cinema & Actors/actresses,29000000.0,Russia,2900000.0,4300000.0
eunwo.o_c,Music,27400000.0,Indonesia,3600000.0,4500000.0
euphoria,Music,7900000.0,United States,1100000.0,1800000.0
evaluna,Family,19800000.0,Argentina,812100.0,1100000.0
evcenf,Lifestyle,12800000.0,Turkey,375600.0,473300.0
ewsbdi,Music,4200000.0,Indonesia,488600.0,730200.0
f1,Racing Sports,18300000.0,Italy,266600.0,337700.0
fabriziorom,Literature & Journalism,6400000.0,Italy,328900.0,570600.0
fadiljaidi,Lifestyle,7000000.0,Indonesia,581500.0,873000.0
faz3,Lifestyle,14000000.0,United Arab Emirates,257300.0,337900.0
fcbarcelona,Sports with a ball,107100000.0,Indonesia,450100.0,687900.0
fcbayern,Sports with a ball,31800000.0,Germany,115000.0,167400.0
fedez,Music,13700000.0,Italy,725500.0,1000000.0
feliciathegoat,Music,12400000.0,United States,1000000.0,1700000.0
felicyangelista_,Family,21000000.0,Indonesia,107000.0,147800.0
felipeneto,Lifestyle,15400000.0,Brazil,166100.0,236000.0
fifaworldcup,Sports with a ball,25500000.0,India,71200.0,109100.0
florencepugh,Humor & Fun & Happiness,7200000.0,United States,926400.0,1400000.0
for_everyoung10,Music,3600000.0,Indonesia,733900.0,926900.0
fortnite,Computers & Gadgets,26100000.0,United States,102100.0,120300.0
francety,Adult content,10600000.0,India,250400.0,328300.0
francinyehlke,Beauty,15200000.0,Brazil,86400.0,188600.0
frenchmontana,Music,24500000.0,United States,91500.0,151600.0
frenkiedejong,Sports with a ball,10000000.0,Spain,528600.0,792500.0
fuckjerry,Humor & Fun & Happiness,16600000.0,United States,405300.0,523100.0
fuji_an,Music,10300000.0,Indonesia,531800.0,1300000.0
gabigol,Sports with a ball,9600000.0,Brazil,282000.0,427000.0
gal_gadot,Cinema & Actors/actresses,77000000.0,United States,597500.0,771600.0
galatasaray,Sports with a ball,11100000.0,Turkey,254400.0,307800.0
garethbale11,Sports with a ball,46300000.0,Spain,402200.0,633900.0
gatenm123,Music,13600000.0,Brazil,449500.0,594100.0
geneliad,Cinema & Actors/actresses,9600000.0,India,444400.0,550600.0
georgenotfound,Music,3100000.0,United States,997800.0,1100000.0
georginagio,Lifestyle,36500000.0,India,2500000.0,3500000.0
gessicakayane,Shows,19300000.0,Brazil,173600.0,357900.0
ggonekim,Music,5100000.0,Indonesia,441600.0,542600.0
gianlucavacchi,Lifestyle,22200000.0,Brazil,511400.0,787200.0
giannis_an34,Sports with a ball,12300000.0,United States,217800.0,344600.0
gigihadid,Modeling,73200000.0,United States,1900000.0,2800000.0
gildovigor,Music,15000000.0,Brazil,442500.0,612200.0
gima_ashi,Lifestyle,13900000.0,India,145100.0,197800.0
gioewbank,Cinema & Actors/actresses,28000000.0,Brazil,181400.0,290600.0
gisele,Modeling,18900000.0,Brazil,274600.0,408000.0
goar_avetisyan,Beauty,11500000.0,Russia,510500.0,707900.0
golfarahani,Cinema & Actors/actresses,12600000.0,Iran,307500.0,395700.0
grantgust,Cinema & Actors/actresses,7800000.0,Brazil,343400.0,487300.0
greeicy,Shows,20400000.0,Colombia,201400.0,270900.0
grefg_official,Computers & Gadgets,7100000.0,Spain,440100.0,546100.0
gucci,Accessories & Jewellery,47900000.0,United States,57900.0,74300.0
gururandhawa,Music,31500000.0,India,110800.0,135400.0
gusein.gasanov,Shows,21000000.0,Russia,524500.0,786100.0
gusttavolima,Music,42900000.0,Brazil,46900.0,79800.0
hadise,Music,13700000.0,Turkey,220700.0,257200.0
haechanahceah,Music,2700000.0,United States,0.0,2100000.0
haileesteinfeld,Cinema & Actors/actresses,18200000.0,United States,1500000.0,1900000.0
haileybieber,Lifestyle,42200000.0,United States,1800000.0,2400000.0
hakkiakdenizz,Business & Careers,17600000.0,Russia,120200.0,174400.0
handemiyy,Cinema & Actors/actresses,27300000.0,Turkey,2100000.0,2800000.0
hannahstocking,Modeling,21000000.0,United States,237200.0,337800.0
hardikpandya93,Sports with a ball,20600000.0,India,860300.0,1100000.0
harrykane,Sports with a ball,12300000.0,United Kingdom,148300.0,204400.0
harrystyles,Music,43300000.0,Brazil,2900000.0,3900000.0
hassan_reyvandi,Cinema & Actors/actresses,18700000.0,Iran,330100.0,456500.0
hegdepooja,Cinema & Actors/actresses,18800000.0,India,831700.0,959300.0
helen_yes1,Cinema & Actors/actresses,10500000.0,Russia,342400.0,442600.0
henrycavill,Cinema & Actors/actresses,19700000.0,Brazil,795100.0,966500.0
heybiblee,Modeling,13500000.0,Indonesia,971100.0,1300000.0
hi_high_hiy,Cinema & Actors/actresses,12900000.0,South Korea,2600000.0,3000000.0
hi_songjoongki,Cinema & Actors/actresses,8800000.0,Indonesia,1700000.0,2400000.0
hi_sseulgi,Modeling,11900000.0,Indonesia,849600.0,1100000.0
hichasestokes,Lifestyle,7400000.0,United States,640900.0,959800.0
hilaryduff,Cinema & Actors/actresses,20600000.0,United States,147300.0,188200.0
hm_son7,Music,6000000.0,Brazil,395900.0,644200.0
holyhaein,Music,9700000.0,Indonesia,2100000.0,2600000.0
hoooooyeony,Lifestyle,23700000.0,South Korea,2000000.0,2700000.0
houseofhighlights,Sports with a ball,32700000.0,United States,64600.0,117200.0
hrithikroshan,Cinema & Actors/actresses,41900000.0,India,638300.0,805300.0
hshq,Music,5500000.0,United States,488100.0,859100.0
huddy,Lifestyle,11900000.0,Brazil,228400.0,317800.0
humansofny,Lifestyle,11800000.0,United States,181900.0,215400.0
hunterschafer,Music,7100000.0,United States,957200.0,1600000.0
hyeri_0609,Music,7000000.0,South Korea,447600.0,539000.0
hyunah_aa,Music,17600000.0,South Korea,378100.0,448700.0
hziyech,Sports with a ball,6000000.0,Morocco,348400.0,476000.0
hztttao,Music,11300000.0,Indonesia,253100.0,281300.0
i_m_hendery,Music,6000000.0,United States,965500.0,1300000.0
i_nivethathomas,Cinema & Actors/actresses,5900000.0,India,395300.0,447000.0
iambeckyg,Music,31200000.0,Mexico,679200.0,817400.0
iamcardib,Music,127200000.0,United States,2300000.0,3300000.0
iamferv,Lifestyle,8800000.0,Mexico,1000000.0,1500000.0
iamhalsey,Music,28900000.0,United States,793700.0,1000000.0
iammichelemorroneofficial,Lifestyle,12900000.0,Brazil,654100.0,938900.0
iampauloandre,Lifestyle,6100000.0,Brazil,122200.0,424400.0
iamsrk,Cinema & Actors/actresses,28600000.0,India,717000.0,909700.0
iamzlatanibrahimovic,Sports with a ball,52900000.0,Italy,306700.0,473100.0
iansomerhalder,Cinema & Actors/actresses,22500000.0,United States,527600.0,788900.0
ibaillanos,Art/Artists,6800000.0,Spain,859100.0,1200000.0
ileana_official,Cinema & Actors/actresses,14100000.0,India,286000.0,347700.0
imhyoseop,Lifestyle,6000000.0,Indonesia,1200000.0,1400000.0
imouniroy,Cinema & Actors/actresses,22600000.0,India,238900.0,290700.0
imsebastianstan,Shows,9000000.0,United States,566100.0,672900.0
indiancricketteam,Sports with a ball,23900000.0,India,223200.0,260300.0
